symbol,since
GDAL_DMD_NUMERIC_FIELD_WIDTH_INCLUDES_SIGN,3.8.0
GDAL_DMD_OPENOPTIONLIST,3.8.0
GDAL_DMD_OVERVIEW_CREATIONOPTIONLIST,3.12.0
GDAL_DMD_RELATIONSHIP_FLAGS,3.8.0
GDAL_DMD_RELATIONSHIP_RELATED_TABLE_TYPES,3.8.0
GDAL_DMD_SUBDATASETS,3.8.0
GDAL_DMD_SUPPORTED_SQL_DIALECTS,3.8.0
GDAL_DMD_UPDATE_ITEMS,3.11.0
GDAL_OF_ALL,3.8.0
GDAL_OF_GNM,3.8.0
GDAL_OF_MULTIDIM_RASTER,3.8.0
GDAL_OF_RASTER,3.8.0
GDAL_OF_READONLY,3.8.0
GDAL_OF_SHARED,3.8.0
GDAL_OF_THREAD_SAFE,3.10.0
GDAL_OF_UPDATE,3.8.0
GDAL_OF_VECTOR,3.8.0
GDAL_OF_VERBOSE_ERROR,3.8.0
GDT_Byte,3.8.0
GDT_CFloat16,3.11.0
GDT_CFloat32,3.8.0
GDT_CFloat64,3.8.0
GDT_CInt16,3.8.0
GDT_CInt32,3.8.0
GDT_Float16,3.11.0
GDT_Float32,3.8.0
GDT_Float64,3.8.0
GDT_Int16,3.8.0
GDT_Int32,3.8.0
GDT_Int64,3.8.0
GDT_Int8,3.8.0
GDT_TypeCount,3.8.0
GDT_UInt16,3.8.0
GDT_UInt32,3.8.0
GDT_UInt64,3.8.0
GDT_UInt8,3.13.0
GDT_Unknown,3.8.0
GFT_Boolean,3.12.0
GFT_DateTime,3.12.0
GFT_Integer,3.8.0
GFT_Real,3.8.0
GFT_String,3.8.0
GFT_WKBGeometry,3.12.0
GFU_Alpha,3.8.0
GFU_AlphaMax,3.8.0
GFU_AlphaMin,3.8.0
GFU_Blue,3.8.0
GFU_BlueMax,3.8.0
GFU_BlueMin,3.8.0
GFU_Generic,3.8.0
GFU_Green,3.8.0
GFU_GreenMax,3.8.0
GFU_GreenMin,3.8.0
GFU_Max,3.8.0
GFU_MaxCount,3.8.0
GFU_Min,3.8.0
GFU_MinMax,3.8.0
GFU_Name,3.8.0
GFU_PixelCount,3.8.0
GFU_Red,3.8.0
GFU_RedMax,3.8.0
GFU_RedMin,3.8.0
GF_Read,3.8.0
GF_Write,3.8.0
GPI_CMYK,3.8.0
GPI_Gray,3.8.0
GPI_HLS,3.8.0
GPI_RGB,3.8.0
GRA_Average,3.8.0
GRA_Bilinear,3.8.0
GRA_Cubic,3.8.0
GRA_CubicSpline,3.8.0
GRA_Lanczos,3.8.0
GRA_Max,3.8.0
GRA_Med,3.8.0
GRA_Min,3.8.0
GRA_Mode,3.8.0
GRA_NearestNeighbour,3.8.0
GRA_Q1,3.8.0
GRA_Q3,3.8.0
GRA_RMS,3.8.0
GRA_Sum,3.8.0
GRC_MANY_TO_MANY,3.8.0
GRC_MANY_TO_ONE,3.8.0
GRC_ONE_TO_MANY,3.8.0
GRC_ONE_TO_ONE,3.8.0
GRIORA_Average,3.8.0
GRIORA_Bilinear,3.8.0
GRIORA_Cubic,3.8.0
GRIORA_CubicSpline,3.8.0
GRIORA_Gauss,3.8.0
GRIORA_Lanczos,3.8.0
GRIORA_Mode,3.8.0
GRIORA_NearestNeighbour,3.8.0
GRIORA_RMS,3.8.0
GRTT_ATHEMATIC,3.8.0
GRTT_THEMATIC,3.8.0
GRT_AGGREGATION,3.8.0
GRT_ASSOCIATION,3.8.0
GRT_COMPOSITE,3.8.0
GTO_BIT,3.8.0
GTO_BSQ,3.8.0
GTO_TIP,3.8.0
OGRGeometryTypeToName,3.8.0
OGR_L_CreateFieldFromArrowSchema,3.8.0
OGR_L_GetArrowStream,3.8.0
OGR_L_GetExtent,3.8.0
OGR_L_GetFeatureCount,3.8.0
OGR_L_GetGeomType,3.8.0
OGR_L_GetName,3.8.0
OGR_L_GetSpatialRef,3.8.0
OGR_L_ResetReading,3.8.0
OGR_L_SetAttributeFilter,3.8.0
OGR_L_SetSpatialFilter,3.8.0
OGR_L_SetSpatialFilterRect,3.8.0
OGR_L_TestCapability,3.8.0
OGR_L_WriteArrowBatch,3.8.0
OSRDestroySpatialReference,3.8.0
OSRExportToWkt,3.8.0
OSRNewSpatialReference,3.8.0
OSRSetFromUserInput,3.8.0
